Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Lamar University,Southland,12,Sam Swayze,Jr,L,5-7,42,NA,42,NA,0,1,1,-1,20,5,6,159,12,NA,1,NA,0.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lamar University,Southland,18,Hayleigh Moreno,Jr,S,5-5,47,NA,47,NA,3,1,12,0.167,97,6,12,80,NA,NA,NA,NA,NA,9,21,NA,NA,NA,NA,NA,NA,NA
2020-2021,McNeese,Southland,1,Lauren Burt,Jr,MB,6-3,11,10,34,NA,43,11,92,0.348,5,3,6,24,2,7,22,3,21,64,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,McNeese,Southland,2,Jaiden Kennedy,Jr,MB,6-1,12,12,40,NA,42,17,121,0.207,4,NA,2,9,NA,9,29,1,24.5,65.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,McNeese,Southland,25,Kendall Glueck,Jr,OPP,6-3,12,3,40,NA,120,50,309,0.227,2,NA,NA,15,NA,5,24,3,20,137,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Orleans,Southland,6,Atira Jells,Jr,MB,6-0,11,3,29,NA,70,27,150,0.287,1,2,14,13,NA,2,11,3,10.5,79.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Orleans,Southland,10,Samantha Gioiosa,Jr,L,5-6,6,3,16,NA,0,5,11,-0.455,3,1,1,29,6,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Orleans,Southland,22,Alexis Parrish,Jr,RS,6-1,14,12,49,NA,94,57,295,0.125,2,4,7,22,1,3,27,3,19.5,114.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Nicholls,Southland,5,Kylie Lockhart,Jr,DS,5-7,43,NA,43,NA,3,0,20,0.15,30,4,13,195,16,NA,1,NA,0.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Nicholls,Southland,8,Aaliyah Burras,Jr,MB,6-0,12,11,44,NA,88,37,228,0.224,1,6,10,23,NA,12,34,3,32,123,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Nicholls,Southland,9,Emily Gauthreaux,Jr,OH,6-1,12,12,44,NA,102,48,381,0.142,5,11,17,103,12,NA,10,1,6,118,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Nicholls,Southland,15,Katie Jones,Jr,RS,6-2,12,11,43,NA,89,41,281,0.171,2,NA,1,28,NA,NA,17,2,10.5,97.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Nicholls,Southland,18,Nina Finderle,Jr,MB,6-0,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Northwestern St.,Southland,16,Bryce Potter,Jr,L/DS,5-3,13,3,43,NA,2,0,7,0.286,7,NA,2,95,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,SFA,Southland,17,Allie Hamsher,Jr,S,-,27,11,95,NA,12,4,67,0.119,454,33,13,173,1,NA,NA,NA,NA,45,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,SFA,Southland,97,Neena Perdue,Jr,MB,5-11,3,1,6,NA,3,5,15,-0.133,NA,NA,NA,1,NA,1,3,NA,2.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Sam Houston,Southland,4,Breanne Chausse,Jr,OH,5-9,14,11,56,NA,146,45,388,0.26,6,1,1,49,NA,1,37,1,20.5,166.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Sam Houston,Southland,12,Elise Smith,Jr,OH,6-0,5,NA,5,NA,1,3,8,-0.25,NA,NA,NA,1,NA,NA,3,NA,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Sam Houston,Southland,16,Kaira Hunnicutt,Jr,MB,6-0,6,1,14,NA,7,7,35,0,NA,NA,NA,5,NA,2,9,2,8.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Southeastern La.,Southland,4,Karlee Wilkerson,Jr,OPP,6-1,16,9,67,NA,125,56,346,0.199,1,NA,NA,28,NA,2,26,3,18,140,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UIW,Southland,3,Pilar Gonzaba,Jr,S,5-8,9,4,32,NA,9,3,37,0.162,223,9,13,55,NA,1,6,NA,4,22,14,NA,NA,NA,NA,NA,NA,NA
2020-2021,UIW,Southland,4,Taylor Henderson,Jr,MB,6-0,6,5,19,NA,40,7,83,0.398,NA,1,4,11,NA,1,14,1,9,49,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UIW,Southland,5,Bethany Clapp,Jr,OH,6-0,14,14,57,NA,229,56,644,0.269,11,17,6,156,18,4,20,4,18,260,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Denver,Summit League,11,Michelle Feliciano,Jr,S,5-9,4,NA,4,NA,0,1,1,-1,16,1,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas City,Summit League,1,Maddie Renn,Jr,L/DS,5-3,17,0,70,NA,0,1,6,-0.167,63,17,21,308,10,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas City,Summit League,3,De'Janae Arnold,Jr,MH,5-10,17,17,70,NA,135,34,354,0.285,2,NA,1,7,NA,13,49,4,41.5,172.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas City,Summit League,5,Kelsie Milkowski,Jr,OH,5-11,31,NA,31,NA,0,0,0,NA,NA,7,14,11,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas City,Summit League,8,Melanie Brecka,Jr,RS,-,17,17,70,NA,292,116,724,0.243,9,19,21,166,3,NA,28,11,25,325,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas City,Summit League,14,Mimi Dunda,Jr,MH,6-1,4,4,13,NA,11,6,43,0.116,2,NA,NA,3,NA,NA,7,4,7.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota,Summit League,1,Darian Chwialkowski,Jr,OH,5-11,18,0,65,NA,1,0,15,0.067,35,17,27,348,17,NA,NA,NA,NA,18,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota,Summit League,7,Lexi Ahrens,Jr,MH,6-2,18,18,65,NA,160,54,428,0.248,4,6,19,33,1,6,38,3,28,191,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota,Summit League,14,Kelly Wahl,Jr,MH,6-1,6,6,17,NA,13,7,45,0.133,1,NA,NA,3,1,1,14,3,11,21,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota,Summit League,20,Madi Hart,Jr,L/DS,-,18,8,62,NA,1,1,9,0,28,12,7,155,14,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota St.,Summit League,1,Kirstin Tidd,Jr,MH,6-1,16,15,55,NA,85,32,190,0.279,NA,4,2,20,NA,3,16,2,13,100,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota St.,Summit League,10,Maggie Steffen,Jr,OH,5-10,12,0,29,NA,3,5,16,-0.125,NA,4,5,29,8,NA,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Dakota St.,Summit League,12,Kaylee Hanger,Jr,L/DS,5-8,18,7,65,NA,0,3,16,-0.188,35,12,8,132,9,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Omaha,Summit League,7,Alexa Blase,Jr,OH,5-11,17,12,54,NA,115,58,442,0.129,5,20,36,51,7,2,19,3,16,146.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Omaha,Summit League,10,Sadie Limback,Jr,RS,6-0,19,19,72,1,294,51,602,0.404,NA,NA,5,40,1,1,38,4,23,314,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Omaha,Summit League,13,Rylee Marshall,Jr,MB,6-1,19,19,70,1,85,28,237,0.241,3,NA,NA,19,NA,10,51,3,39,120.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oral Roberts,Summit League,8,Victoria Mayes,Jr,RS,6-0,7,3,24,NA,38,29,109,0.083,NA,NA,1,7,NA,NA,3,1,2.5,39.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oral Roberts,Summit League,9,Aixa Vigil,Jr,OH,6-1,16,16,65,NA,208,91,619,0.189,19,22,14,210,28,4,23,5,20.5,245.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oral Roberts,Summit League,13,Sarah Thiessen,Jr,L/DS,5-5,72,NA,72,NA,0,2,11,-0.182,84,13,21,346,26,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oral Roberts,Summit League,15,Morgan Blomquist,Jr,MB,6-1,11,6,35,NA,23,10,84,0.155,1,1,NA,10,NA,3,16,1,12,35,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota,Summit League,2,Claire Gerdes,Jr,MB,6-1,7,1,10,NA,11,8,27,0.111,NA,NA,NA,5,NA,NA,4,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota,Summit League,4,Madison Jurgens,Jr,S,5-9,22,22,87,1,42,23,128,0.148,867,29,33,254,NA,3,17,7,18.5,82.5,28,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota,Summit League,14,Lolo Weideman,Jr,DS,5-7,22,0,87,NA,1,0,5,0.2,88,24,24,383,18,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota,Summit League,18,Maddie Wiedenfeld,Jr,MB,6-2,22,22,87,1,153,45,375,0.288,3,6,15,34,NA,10,72,9,57.5,205,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota St.,Summit League,3,Hailee Blau,Jr,RS,6-4,17,16,57,NA,106,47,292,0.202,3,NA,2,35,1,6,28,1,21,126,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota St.,Summit League,5,Tatum Pickar,Jr,L/DS,5-3,17,0,57,NA,1,1,21,0,37,23,19,303,22,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota St.,Summit League,9,Crystal Burk,Jr,OH,5-8,17,17,57,NA,213,101,724,0.155,10,5,19,188,12,4,16,16,28,230,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Dakota St.,Summit League,15,Sydney Andrews,Jr,MB,6-0,14,11,40,NA,50,20,124,0.242,3,5,3,19,NA,1,22,2,14,67,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Western Ill.,Summit League,1,Erika Moore,Jr,L/DS,5-7,57,NA,57,NA,2,1,9,0.111,5,13,5,132,17,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Western Ill.,Summit League,6,Mariah Mitchell,Jr,RS,6-0,17,17,61,NA,165,86,460,0.172,3,NA,1,44,4,5,37,2,25.5,188.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Western Ill.,Summit League,12,Peyton Bowman,Jr,MH,6-1,17,17,60,NA,109,39,232,0.302,5,5,6,17,NA,12,40,NA,32,146,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,1,Amya Giger,Jr,RS,6-0,11,3,26,NA,29,24,96,0.052,NA,1,4,7,NA,1,10,1,7,36,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,2,Victoria Wilform,Jr,OH,5-8,16,5,34,NA,55,39,190,0.084,3,4,17,29,11,2,7,2,7.5,64.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,10,Anna Kincaid,Jr,MB,6-1,11,10,30,NA,37,17,95,0.211,4,2,6,10,NA,3,22,1,15,53,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,15,Grace Kinsch,Jr,L/DS,5-5,7,2,20,NA,0,0,0,NA,2,NA,NA,27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,18,Holli Smith,Jr,L/DS,5-6,26,NA,26,NA,0,0,0,NA,3,2,4,34,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,App State,Sun Belt,24,Daryn Armstrong,Jr,MB,6-0,6,5,17,NA,14,14,50,0,NA,NA,NA,6,NA,2,7,3,8.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,4,Josie Stanford,Jr,MB,6-1,18,13,66,1,156,88,495,0.137,2,1,4,41,NA,4,48,3,34,185,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,7,Timber Terrell,Jr,MB,5-11,3,1,8,NA,10,7,42,0.071,NA,NA,NA,4,1,1,2,1,3,12,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,10,Tatum Ticknor,Jr,L/DS,5-8,66,NA,66,NA,0,0,6,0,70,8,7,356,12,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,18,Lauren Musante,Jr,S,5-8,18,17,66,3,22,9,79,0.165,520,14,21,207,NA,2,22,NA,17,49,17,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,19,Julianna Cramer,Jr,S,5-7,16,1,52,NA,3,1,15,0.133,106,8,9,59,NA,NA,1,1,0.5,11.5,10,NA,NA,NA,NA,NA,NA,NA
2020-2021,Arkansas St.,Sun Belt,20,Macey Putt,Jr,OH,6-0,7,2,19,NA,46,37,172,0.052,2,4,6,37,12,NA,5,NA,2.5,52.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Coastal Carolina,Sun Belt,6,Marija Borcic,Jr,S,5-10,19,1,45,NA,6,0,10,0.6,130,9,7,36,NA,NA,5,2,4.5,17.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Coastal Carolina,Sun Belt,13,Anett Nemeth,Jr,OPP,6-1,19,19,63,NA,280,78,604,0.334,14,24,37,139,2,2,33,6,24.5,322.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Coastal Carolina,Sun Belt,14,Christina Nance,Jr,MH,6-3,19,18,51,NA,46,10,101,0.356,2,NA,NA,7,NA,16,30,5,36,77,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,1,Hannah McGlockton,Jr,OH,5-7,15,1,39,1,47,52,234,-0.021,2,NA,2,20,11,3,6,4,10,53,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,10,Maddie Bryant,Jr,RS,6-2,18,17,55,NA,88,55,361,0.091,10,5,14,114,13,5,14,NA,13,105,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,13,Baylor Bumford,Jr,MH,5-11,18,15,62,1,117,61,328,0.171,2,1,7,26,NA,5,41,1,27.5,143.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,14,Haley Fuller,Jr,OPP,5-11,13,4,29,NA,50,40,164,0.061,1,NA,NA,9,NA,1,7,1,6.5,54.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,18,Madison Brown,Jr,S,5-10,16,15,55,NA,26,9,74,0.23,515,12,16,115,NA,NA,26,1,14,51,16,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,20,Nicoleta Meyer,Jr,DS,5-8,2,NA,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Ga. Southern,Sun Belt,23,Christina Walton,Jr,MH,6-2,3,2,6,1,3,1,10,0.2,NA,NA,NA,5,NA,NA,4,2,3.5,5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia St.,Sun Belt,11,Truth Hafey,Jr,S,5-7,8,1,11,NA,1,2,7,-0.143,17,NA,6,9,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia St.,Sun Belt,15,Emma Clark,Jr,MB,6-1,10,4,23,NA,21,20,80,0.013,NA,NA,NA,1,1,2,12,1,9,29,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Little Rock,Sun Belt,6,Nedima Kamberovic,Jr,OH,6-0,20,4,71,NA,147,73,403,0.184,1,NA,NA,30,7,1,28,3,18,162,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Little Rock,Sun Belt,7,Laura Jansen,Jr,OH,5-11,20,20,71,NA,291,91,840,0.238,9,21,13,272,13,4,33,4,24.5,332.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Little Rock,Sun Belt,8,Halee Pedro,Jr,L/DS,5-5,18,6,50,NA,0,0,7,0,4,13,18,100,12,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Little Rock,Sun Belt,14,Nathalia Vigineski,Jr,S,5-11,17,1,59,NA,1,3,21,-0.095,226,12,19,63,NA,NA,NA,NA,NA,13,20,NA,NA,NA,NA,NA,NA,NA
2020-2021,Little Rock,Sun Belt,20,Leigh Maher,Jr,L/DS,5-2,20,0,71,NA,1,1,17,0,64,17,10,402,27,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisiana,Sun Belt,6,Kelsey Bennett,Jr,OH,5-11,25,25,90,14,285,110,935,0.187,16,15,36,286,19,9,38,3,39,328,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisiana,Sun Belt,9,Milayne Danna,Jr,DS,5-4,25,16,88,9,0,0,2,0,14,10,14,234,10,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisiana,Sun Belt,11,Tia Jade Smith,Jr,MB,6-2,9,6,26,6,43,12,85,0.365,NA,NA,NA,8,NA,9,20,5,29,62,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisiana,Sun Belt,21,Desiree Johnson,Jr,RS,5-11,9,2,24,1,36,24,135,0.089,3,1,1,13,NA,2,9,NA,9.5,43.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Alabama,Sun Belt,25,Morgan Stalcup,Jr,MB,6-5,3,2,6,NA,3,0,5,0.6,NA,NA,NA,NA,NA,NA,1,NA,0.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,1,Kenedi Rutherford,Jr,OH,5-11,30,18,71,3,179,95,506,0.166,3,NA,NA,53,6,1,8,3,8.5,184,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,6,Kayla Granado,Jr,DS,5-4,141,NA,141,NA,3,2,23,0.043,136,26,49,548,17,NA,NA,NA,NA,29,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,8,Jillian Slaughter,Jr,MB,6-0,40,35,126,3,197,82,541,0.213,14,16,41,60,1,13,92,7,69,272,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,9,Alissa Miramontez,Jr,L/DS,4-11,14,NA,14,NA,0,0,0,NA,2,NA,2,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,16,Janell Fitzgerald,Jr,OH,6-1,40,33,140,3,483,158,1066,0.305,10,3,11,118,5,19,87,4,68,548.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas St.,Sun Belt,17,Emily DeWalt,Jr,S,5-10,40,40,140,3,105,21,293,0.287,1501,17,29,415,2,4,59,11,47,155.5,12,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,1,Avery Cason,Jr,RS,6-0,11,1,30,NA,39,22,135,0.126,NA,NA,1,16,1,NA,11,NA,5.5,44.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,2,Alison Siersma,Jr,OH,5-10,13,2,42,NA,41,41,150,0,2,10,41,11,2,1,6,1,5,55,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,6,Amara Anderson,Jr,S,6-0,20,20,78,NA,54,13,148,0.277,792,24,16,176,NA,NA,20,NA,10,88,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,8,Caitlin Cooper,Jr,MH,6-4,18,18,72,NA,121,62,298,0.198,2,NA,NA,7,NA,17,60,1,48,168,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,9,Lacey Jeffcoat,Jr,DS,5-8,20,0,78,NA,2,0,11,0.182,44,18,13,374,17,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,14,Isabella Mitchell,Jr,DS,5-6,15,8,52,NA,0,0,0,NA,6,9,30,96,11,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,17,Natalie Hummel,Jr,S,5-9,20,1,78,NA,0,1,2,-0.5,9,24,7,71,2,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Troy,Sun Belt,18,Halston Hillier,Jr,MH,6-1,19,10,73,NA,149,77,443,0.163,NA,NA,2,26,NA,1,48,3,28,174,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,ULM,Sun Belt,9,McKinley Thiede,Jr,S,5-9,18,13,57,NA,7,6,50,0.02,281,8,24,79,NA,NA,2,NA,1,16,16,NA,NA,NA,NA,NA,NA,NA
2020-2021,ULM,Sun Belt,17,Cali Assaley,Jr,OH,6-0,19,15,54,NA,116,98,400,0.045,1,7,19,100,18,5,8,NA,9,132,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,UT Arlington,Sun Belt,8,Michaela Wright,Jr,MB,6-6,18,18,68,NA,82,26,246,0.228,1,3,9,36,NA,14,48,5,44,123,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,UT Arlington,Sun Belt,11,Kylee Kapp,Jr,S,5-5,22,13,78,NA,7,2,35,0.143,362,16,14,151,NA,NA,NA,NA,NA,23,20,NA,NA,NA,NA,NA,NA,NA
2020-2021,UT Arlington,Sun Belt,12,Brooke Townsend,Jr,OH,6-0,22,20,83,NA,249,87,737,0.22,17,8,11,174,18,8,18,8,25,274,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Cincinnati,The American,5,Maria Mallon,Jr,OH,5-9,9,9,35,NA,124,77,377,0.125,9,9,18,131,4,3,5,1,6.5,138.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Cincinnati,The American,15,Armania Heckenmueller,Jr,S,5-7,7,4,27,NA,5,1,13,0.308,194,11,5,38,NA,NA,7,1,4.5,19.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Cincinnati,The American,21,Adria Oliver,Jr,MB,6-1,12,12,47,1,111,48,264,0.239,1,NA,NA,18,NA,7,33,6,28,134.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Cincinnati,The American,35,Hannah Bolinger,Jr,MB,6-1,6,2,13,1,12,4,37,0.216,NA,1,1,NA,1,2,3,NA,3.5,16.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,East Carolina,The American,8,Natalie Tyson,Jr,OH,5-8,12,11,47,7,105,39,337,0.196,5,7,7,114,10,1,13,NA,13,119.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,East Carolina,The American,9,Janiece Jefferies,Jr,S,5-10,10,6,37,5,0,1,4,-0.25,175,3,4,101,NA,NA,2,NA,1.5,4,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,East Carolina,The American,32,Sydney Hall,Jr,MB,6-1,12,12,47,8,40,15,117,0.214,3,NA,1,12,2,10,27,8,36.5,63.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,East Carolina,The American,99,Gabby Ferguson,Jr,MB,6-0,1,1,2,1,0,0,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Houston,The American,1,Torie Frederick,Jr,L,5-4,75,NA,75,NA,1,2,19,-0.053,32,14,12,375,15,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Houston,The American,2,Kelsey Childers,Jr,DS,5-8,4,1,7,NA,3,0,6,0.5,18,NA,2,6,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Houston,The American,8,Isabel Theut,Jr,MB,6-1,19,19,75,1,144,54,332,0.271,2,11,26,31,NA,9,36,5,32,182,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Houston,The American,9,Kortlyn Henderson,Jr,OH,6-2,19,17,71,1,212,97,536,0.215,5,NA,NA,26,NA,4,11,1,10.5,221.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Houston,The American,16,Kendall Haywood,Jr,MB,6-1,12,6,37,NA,64,26,196,0.194,NA,NA,1,9,NA,4,20,4,18,78,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Memphis,The American,4,Andrea O'Connor,Jr,MB,6-1,6,1,18,NA,11,6,41,0.122,NA,3,2,6,NA,NA,5,1,3.5,16.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Memphis,The American,5,Miaya Smith,Jr,MB,6-1,12,12,45,NA,112,52,267,0.225,2,1,2,11,NA,8,24,7,27,133,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Memphis,The American,22,Sabrina Bianco,Jr,S,5-7,12,12,46,NA,18,8,79,0.127,499,10,11,152,NA,NA,15,4,11.5,35.5,15,NA,NA,NA,NA,NA,NA,NA
2020-2021,SMU,The American,4,Kaylyn Winkler,Jr,MB,6-3,12,11,42,NA,73,20,168,0.315,2,NA,NA,7,NA,12,33,8,36.5,101.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,SMU,The American,7,Lily Heim,Jr,S,6-0,12,12,49,NA,25,10,87,0.172,529,9,12,124,1,1,15,2,10.5,42.5,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,SMU,The American,10,Hannah Jacobs,Jr,OH,6-2,14,8,57,NA,194,89,503,0.209,5,NA,NA,40,14,NA,21,4,14.5,204.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,SMU,The American,14,Bria' Merchant,Jr,DS,5-8,14,2,57,NA,0,1,4,-0.25,32,17,11,214,13,NA,NA,1,1,17,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,SMU,The American,18,Rachel Woulfe,Jr,OH,6-2,12,12,49,NA,136,46,349,0.258,1,NA,2,27,NA,1,27,NA,14.5,150.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Fla.,The American,1,CC Clausen,Jr,L/DS,5-7,58,NA,58,NA,0,1,2,-0.5,49,12,25,247,10,NA,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,South Fla.,The American,11,Masha Idjilov,Jr,S,5-10,14,13,58,2,20,3,53,0.321,481,21,20,115,NA,2,5,1,5.5,45.5,5,NA,NA,NA,NA,NA,NA,NA
