Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School
2020-2021,Tulane,The American,2,Lizzy Stefanov,So,OH,6-0,19,NA,19,NA,28,22,112,0.054,2,1,1,18,3,NA,4,NA,2,31,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulane,The American,6,Jillian Dits,So,L,5-7,15,5,51,NA,0,3,5,-0.6,19,3,9,111,11,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA
2020-2021,Tulane,The American,16,Lauryn Green,So,MH,6-2,8,6,22,NA,24,9,57,0.263,1,NA,NA,7,NA,3,11,3,11.5,32.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulane,The American,20,Oona Bruss,So,MH,6-3,5,4,12,NA,12,5,37,0.189,1,1,NA,1,NA,2,5,NA,4.5,17.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulsa,The American,4,Aysu Dalogullari,So,OH,6-0,10,9,35,NA,21,14,92,0.076,4,3,15,95,8,NA,1,3,3.5,24.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulsa,The American,8,Kylie Trefflich,So,OH,5-10,29,NA,29,NA,62,19,236,0.182,NA,NA,2,15,4,4,6,1,8,69,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulsa,The American,10,Kayley Cassaday,So,OH,5-11,10,10,35,NA,112,51,416,0.147,NA,NA,3,31,5,6,15,4,17.5,125.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tulsa,The American,11,Lauren Isenberg,So,OH,5-10,10,10,35,NA,33,23,134,0.075,1,4,4,110,8,1,11,NA,6.5,43.5,1,NA,NA,NA,NA,NA,NA
2020-2021,UCF,The American,1,Morghan Chambers,So,OH,6-2,1,NA,1,NA,1,0,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,UCF,The American,4,Arianna Arjomand,So,L/DS,5-8,64,NA,64,NA,1,0,5,0.2,76,17,10,215,11,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
2020-2021,UCF,The American,6,Dresden Pass,So,S,5-9,11,5,41,NA,0,1,10,-0.1,201,11,7,88,NA,NA,NA,1,1,11,18,NA,NA,NA,NA,NA,NA
2020-2021,UCF,The American,19,MaKenzie Chambers,So,RS,6-0,18,10,64,NA,118,54,292,0.219,1,NA,NA,28,NA,1,36,1,20,137,NA,NA,NA,NA,NA,NA,NA
2020-2021,UCF,The American,23,Megan Lively,So,MB,6-3,2,NA,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,3,Brylee Kelly,So,OH,6-1,11,7,41,NA,91,42,285,0.172,4,1,8,36,1,1,27,1,15.5,106.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,4,Lily Liekweg,So,L/DS,5-5,47,NA,47,NA,1,0,3,0.333,22,3,9,179,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,5,Kayce Litzau,So,S,5-10,17,12,66,NA,1,6,25,-0.2,375,20,25,118,NA,NA,2,NA,1,22,7,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,7,Nicole Anderson,So,OH,6-0,14,12,46,NA,114,47,400,0.168,8,5,7,126,23,2,15,5,14.5,128.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,10,Sinalauli'i Uluave,So,OH,5-11,17,6,61,NA,21,6,85,0.176,43,8,16,232,5,NA,3,2,3.5,30.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Wichita St.,The American,20,Sophia Rohling,So,OPP,6-3,17,14,65,NA,179,67,431,0.26,1,NA,3,32,NA,2,40,3,25,201,NA,NA,NA,NA,NA,NA,NA
2020-2021,California Baptist,WAC,1,Paige Johnstone,So,L,5-6,43,NA,43,NA,1,1,7,0,45,12,12,180,6,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
2020-2021,California Baptist,WAC,3,Christine Graf,So,OH,6-2,13,13,45,NA,93,44,259,0.189,3,NA,NA,15,NA,2,28,4,20,109,NA,NA,NA,NA,NA,NA,NA
2020-2021,California Baptist,WAC,5,Leah Pease,So,S,5-7,13,12,43,NA,1,0,13,0.077,218,8,7,81,NA,NA,1,NA,0.5,9.5,5,NA,NA,NA,NA,NA,NA
2020-2021,California Baptist,WAC,15,Chandler Gorman,So,MB,6-1,13,13,44,NA,35,15,101,0.198,5,2,6,5,1,6,24,1,19,55,NA,NA,NA,NA,NA,NA,NA
2020-2021,Chicago St.,WAC,3,Mesalina Severino,So,MB,6-1,10,10,33,NA,55,18,125,0.296,NA,NA,NA,12,NA,6,16,9,23,69,1,NA,NA,NA,NA,NA,NA
2020-2021,Chicago St.,WAC,4,Yanlis Feliz,So,OH,6-0,10,10,33,NA,123,80,402,0.107,7,5,7,115,15,2,6,2,7,133,1,NA,NA,NA,NA,NA,NA
2020-2021,Chicago St.,WAC,5,Paola Fragalle,So,S,5-9,10,9,32,NA,2,1,16,0.063,4,3,9,50,16,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Chicago St.,WAC,8,Maria Fernanda Lopez Torres Tapia,So,MB,5-10,10,10,33,NA,57,40,208,0.082,5,3,6,83,NA,1,8,3,8,65,2,NA,NA,NA,NA,NA,NA
2020-2021,Chicago St.,WAC,18,Paule Ceneac,So,MB,6-2,5,NA,5,NA,1,0,5,0.2,NA,NA,NA,2,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Grand Canyon,WAC,2,Klaire Mitchell,So,S,5-7,12,12,40,NA,25,7,82,0.22,471,12,10,122,NA,2,26,6,21,52,11,NA,NA,NA,NA,NA,NA
2020-2021,Grand Canyon,WAC,14,Hannah Eskes,So,MB,6-1,15,11,40,NA,78,21,179,0.318,3,9,6,34,NA,23,32,2,41,126,NA,NA,NA,NA,NA,NA,NA
2020-2021,Grand Canyon,WAC,17,Kailey Trapp,So,MB,6-1,4,NA,4,NA,2,0,5,0.4,NA,NA,2,2,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Mexico St.,WAC,3,Kaleigh Thomas,So,MB,6-0,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Mexico St.,WAC,23,Katie Birtcil,So,OH,6-0,18,7,61,NA,131,37,305,0.308,4,NA,NA,41,1,4,37,4,26.5,153.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Seattle U,WAC,4,Johnasia Carr,So,MB,5-11,4,4,14,NA,11,5,38,0.158,2,NA,NA,NA,NA,2,13,3,11.5,19.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Seattle U,WAC,8,Amaris Carter,So,MB,5-9,11,8,27,NA,66,36,204,0.147,9,5,10,63,13,3,2,4,8,75,NA,NA,NA,NA,NA,NA,NA
2020-2021,Seattle U,WAC,11,Ezgi Ozkan,So,S,5-10,12,12,42,NA,35,11,120,0.2,357,6,11,73,NA,5,16,3,16,54,6,NA,NA,NA,NA,NA,NA
2020-2021,Seattle U,WAC,15,Colby Lane,So,L/DS,5-3,6,2,21,NA,0,0,0,NA,7,3,7,43,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Seattle U,WAC,17,Lauren McCabe,So,MB,6-2,10,10,35,NA,38,22,121,0.132,8,3,6,11,NA,5,18,5,19,55,1,NA,NA,NA,NA,NA,NA
2020-2021,Tarleton St.,WAC,1,Emma Halcomb,So,DS,5-5,24,8,83,NA,0,1,10,-0.1,11,6,7,177,14,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Tarleton St.,WAC,9,Brianna Rhodes,So,MB,5-11,20,18,71,NA,59,21,196,0.194,2,NA,NA,9,NA,6,40,2,28,85,1,NA,NA,NA,NA,NA,NA
2020-2021,UTRGV,WAC,9,Victoire Nama,So,RS,6-2,13,12,42,NA,120,55,387,0.168,7,10,7,82,13,5,11,4,14.5,140.5,3,NA,NA,NA,NA,NA,NA
2020-2021,UTRGV,WAC,11,Ioanna Charitonidi,So,L,5-11,13,3,38,NA,4,5,33,-0.03,14,2,3,74,16,NA,1,NA,0.5,6.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Tech,WAC,7,Mykenna Nelson,So,L,5-8,57,NA,57,NA,1,0,21,0.048,39,12,10,270,7,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA
2020-2021,Utah Tech,WAC,11,Chayse Daugherty,So,OH,5-9,10,4,27,NA,44,19,150,0.167,3,1,9,30,6,1,6,NA,4,49,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Tech,WAC,20,Taela Laufiso,So,S,6-0,7,4,17,NA,3,2,19,0.053,93,1,3,21,NA,NA,6,NA,3,7,5,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,2,Tori Ellis,So,OH,6-4,20,16,72,NA,179,75,490,0.212,5,2,4,47,13,NA,67,3,36.5,214.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,3,Natalia Andrus,So,MB,6-0,11,5,24,NA,31,9,70,0.314,NA,2,6,12,NA,1,26,2,16,47,1,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,5,Elena Buhler,So,DS,5-11,1,0,1,NA,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,8,Abbie Vincent,So,L/DS,5-7,14,0,36,NA,1,1,6,0,1,7,7,34,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,12,Makayla Broadbent,So,MB,6-2,6,0,8,NA,2,4,17,-0.118,NA,NA,3,2,NA,NA,11,NA,5.5,7.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Utah Valley,WAC,15,Caleigh Vagana,So,OH,5-11,11,2,32,NA,29,23,91,0.066,NA,NA,NA,11,NA,3,17,5,16.5,40.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,BYU,WCC,3,Morgan Clinger,So,L,5-7,13,NA,13,NA,0,0,0,NA,1,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,BYU,WCC,7,Whitney Bower,So,S,5-9,19,19,63,4,48,4,110,0.4,676,22,21,221,2,1,27,2,19,84.5,6,NA,NA,NA,NA,NA,NA
2020-2021,BYU,WCC,11,Abbey Dayton,So,OH,6-1,19,13,63,3,0,0,1,0,16,6,9,115,11,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,BYU,WCC,12,Kate Grimmer,So,OPP,6-0,19,8,63,3,185,53,415,0.318,5,NA,2,32,4,NA,40,3,24.5,205,NA,NA,NA,NA,NA,NA,NA
2020-2021,BYU,WCC,17,Grace Wee,So,L,5-6,19,3,60,1,1,0,3,0.333,7,2,5,109,11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Gonzaga,WCC,1,Tia Andaya,So,OH,5-10,18,18,73,2,37,12,131,0.191,699,17,42,169,1,1,36,6,25.5,73,15,NA,NA,NA,NA,NA,NA
2020-2021,Gonzaga,WCC,2,Alisa Kim,So,DS,5-3,10,1,42,NA,0,0,1,0,2,8,13,17,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2020-2021,Gonzaga,WCC,3,Zoe Thiros,So,OH,5-11,17,10,46,2,81,56,284,0.088,NA,3,6,81,9,3,9,1,9,91.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Gonzaga,WCC,4,Alyssa Hughes,So,MB,6-2,18,18,67,2,134,40,287,0.328,4,NA,NA,14,NA,9,63,9,50.5,174.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Gonzaga,WCC,13,Danielle Batenhorst,So,OH,6-1,8,NA,8,NA,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,LMU (CA),WCC,11,Mary Shroll,So,DS,5-8,62,NA,62,NA,0,0,3,0,65,8,23,264,20,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA
2020-2021,LMU (CA),WCC,13,Rose Booth,So,OH,6-1,16,13,61,1,189,90,545,0.182,6,15,29,117,24,5,14,5,18.5,216,2,NA,NA,NA,NA,NA,NA
2020-2021,LMU (CA),WCC,17,Emmelyn Walters,So,MB,6-3,16,15,61,1,98,24,210,0.352,2,1,5,7,1,11,53,6,44,136.5,5,NA,NA,NA,NA,NA,NA
2020-2021,LMU (CA),WCC,22,Audrey Klemp,So,S,6-3,16,12,62,2,162,85,406,0.19,7,8,24,48,8,1,34,4,24,188,2,NA,NA,NA,NA,NA,NA
2020-2021,Pacific,WCC,10,Kaelyn Saler,So,MB,-,5,4,20,2,27,13,78,0.179,4,4,8,26,2,1,6,3,5.5,35,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pacific,WCC,13,Sedona Sherman,So,OPP,6-3,8,1,35,NA,66,42,250,0.096,NA,1,3,29,NA,NA,7,6,7.5,70.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pacific,WCC,16,Illyria Kalaj,So,L/DS,5-3,9,4,33,2,0,0,1,0,4,1,2,34,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pepperdine,WCC,2,Isabel Zelaya,So,S,6-0,21,21,81,11,26,10,88,0.182,905,10,27,176,1,3,41,6,39.5,59.5,8,NA,NA,NA,NA,NA,NA
2020-2021,Pepperdine,WCC,3,Aubrey Roberts,So,DS,5-10,15,NA,15,NA,0,0,0,NA,NA,1,4,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pepperdine,WCC,4,Kayleigh Hames,So,OH,6-0,21,10,81,5,39,17,118,0.186,12,4,11,121,15,1,6,3,6.5,47,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pepperdine,WCC,21,Kayla Joyce,So,DS,5-6,19,12,70,6,0,1,3,-0.333,17,10,12,119,15,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
2020-2021,Portland,WCC,2,Jayde Harris,So,OH,5-11,16,11,59,3,144,94,488,0.102,4,3,5,49,19,4,13,1,12,157.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Portland,WCC,5,Noelani Helm,So,S,5-10,16,6,61,NA,21,12,94,0.096,232,6,11,123,NA,NA,13,1,7,33.5,28,NA,NA,NA,NA,NA,NA
2020-2021,Portland,WCC,6,Grace Zilbert,So,L,5-8,16,6,61,1,0,0,8,0,6,9,12,134,9,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Mary's (CA),WCC,15,Elena Baka,So,OH,6-1,17,17,63,2,194,105,591,0.151,17,25,31,161,26,3,21,1,14.5,232.5,1,NA,NA,NA,NA,NA,NA
2020-2021,San Diego,WCC,11,Grace Frohling,So,OPP,6-5,18,18,66,2,178,83,471,0.202,10,26,26,105,NA,1,52,2,32,231,NA,NA,NA,NA,NA,NA,NA
2020-2021,San Diego,WCC,19,Lauren Turner,So,MB,6-1,10,10,36,2,36,8,81,0.346,1,NA,NA,6,NA,4,34,5,28.5,57,1,NA,NA,NA,NA,NA,NA
2020-2021,San Francisco,WCC,12,Orsula Staka,So,MB,6-4,18,18,70,3,110,34,292,0.26,4,NA,9,8,NA,17,51,5,49,152.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Santa Clara,WCC,2,Julia Sangiacomo,So,OH,6-5,18,18,64,9,268,108,744,0.215,13,21,35,143,15,2,26,4,25.5,304,NA,NA,NA,NA,NA,NA,NA
2021-2022,Boston College,ACC,1,Grace Penn,So,S,5-10,33,9,120,NA,5,2,28,0.107,610,18,26,178,NA,NA,NA,NA,NA,23,14,NA,460,NA,NA,NA,NA
2021-2022,Boston College,ACC,4,Anna Murphy,So,L,5-6,33,0,124,NA,2,0,7,0.286,80,26,19,481,35,NA,NA,NA,NA,28,1,NA,441,NA,NA,NA,NA
2021-2022,Boston College,ACC,5,Sophia Lambros,So,S,6-0,34,22,103,NA,4,2,22,0.091,460,17,21,170,NA,NA,1,1,NA,21.5,6,NA,307,NA,NA,NA,NA
2021-2022,Boston College,ACC,9,Katrina Jensen,So,OH,6-1,34,13,104,NA,240,119,612,0.198,4,9,14,39,9,5,21,1,NA,264.5,NA,NA,104,NA,NA,NA,NA
2021-2022,Boston College,ACC,10,Peyton Minyard,So,MB,6-2,5,1,9,NA,9,0,19,0.474,NA,2,3,5,NA,2,4,NA,NA,15,NA,NA,25,NA,NA,NA,NA
2021-2022,Boston College,ACC,11,Alayna Crabtree,So,OH,6-2,27,3,66,NA,108,77,331,0.094,3,13,15,67,15,4,10,1,NA,130,NA,NA,166,NA,NA,NA,NA
2021-2022,Boston College,ACC,18,Bridget Green,So,L,5-8,26,11,65,NA,1,2,3,-0.333,19,13,17,101,7,NA,NA,NA,NA,14,NA,NA,177,NA,NA,NA,NA
2021-2022,Clemson,ACC,4,Anna Renwick,So,L/DS,5-6,26,0,88,NA,1,0,6,0.167,33,12,38,220,21,NA,NA,NA,NA,13,NA,NA,324,NA,NA,NA,NA
2021-2022,Clemson,ACC,10,Cate Long,So,OH,6-1,30,29,104,NA,186,85,649,0.156,29,26,66,198,34,6,17,6,NA,226.5,2,NA,330,NA,NA,NA,NA
2021-2022,Clemson,ACC,13,Colleen Finney,So,OH,6-1,19,12,50,NA,89,35,256,0.211,NA,2,4,16,NA,3,24,1,NA,106,NA,NA,19,NA,NA,NA,NA
2021-2022,Clemson,ACC,14,Jenna Moore,So,S,5-10,5,3,13,NA,6,0,18,0.333,122,3,5,26,NA,2,5,NA,NA,13.5,1,NA,42,NA,NA,NA,NA
2021-2022,Clemson,ACC,24,Camryn Hannah,So,RS,6-2,25,21,84,NA,261,129,698,0.189,15,12,39,160,10,3,29,2,NA,290.5,1,NA,218,NA,NA,NA,NA
2021-2022,Duke,ACC,5,Sydney Yap,So,S,5-9,26,8,67,NA,1,0,3,0.333,41,13,17,96,NA,NA,NA,NA,NA,14,3,NA,194,NA,NA,NA,NA
2021-2022,Duke,ACC,9,Georgia Stavrinides,So,MB,6-2,28,25,86,NA,151,46,379,0.277,2,2,4,22,NA,16,56,7,NA,197,2,NA,35,NA,NA,NA,NA
2021-2022,Florida St.,ACC,15,Sydney Conley,So,RS,6-1,30,29,100,NA,179,63,540,0.215,2,NA,8,59,8,2,50,3,NA,206,NA,NA,43,NA,NA,NA,NA
2021-2022,Georgia Tech,ACC,10,Isabella D'Amico,So,S,6-0,25,0,46,NA,1,0,6,0.167,54,NA,NA,14,NA,NA,5,1,NA,3.5,4,NA,9,NA,NA,NA,NA
2021-2022,Louisville,ACC,1,Ceci Rush,So,L/DS,5-9,27,0,56,NA,0,0,0,NA,NA,8,11,9,NA,NA,NA,NA,NA,8,NA,NA,138,NA,NA,NA,NA
2021-2022,Louisville,ACC,2,Ayden Bartlett,So,L/DS,5-6,33,3,105,NA,0,0,2,0,14,22,20,171,18,NA,NA,NA,NA,22,NA,NA,263,NA,NA,NA,NA
2021-2022,Louisville,ACC,6,Brooke Smith,So,OH,6-2,9,0,12,NA,9,7,22,0.091,NA,2,5,NA,NA,NA,1,NA,NA,11.5,NA,NA,15,NA,NA,NA,NA
2021-2022,Louisville,ACC,14,Anna DeBeer,So,OH,6-0,31,31,105,NA,343,128,836,0.257,17,29,55,257,16,6,42,3,NA,399,1,NA,360,NA,NA,NA,NA
2021-2022,Miami (FL),ACC,8,Michalina Rola,So,OH,5-11,2,0,2,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
2021-2022,NC State,ACC,11,Hartley Myers,So,OH,6-1,2,0,2,NA,0,1,2,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-2022,NC State,ACC,25,Riley Shaak,So,MB,6-3,27,25,91,NA,66,25,174,0.236,7,12,43,38,NA,19,58,NA,NA,126,1,NA,195,NA,NA,NA,NA
2021-2022,North Carolina,ACC,4,Olivia Diaz,So,L/DS,5-4,25,9,75,NA,0,1,3,-0.333,40,12,5,169,18,NA,NA,NA,NA,12,1,NA,233,NA,NA,NA,NA
2021-2022,North Carolina,ACC,14,Kaya Merkler,So,MH,6-3,28,28,102,NA,238,70,480,0.35,6,13,26,39,NA,19,78,9,NA,309,NA,NA,289,NA,NA,NA,NA
2021-2022,Notre Dame,ACC,8,Hattie Monson,So,L/DS,5-6,28,0,103,NA,1,0,6,0.167,89,21,27,407,19,NA,NA,NA,NA,22,2,NA,403,NA,NA,NA,NA
2021-2022,Notre Dame,ACC,11,Lindsey Miller,So,MB,6-4,28,27,103,NA,177,51,413,0.305,7,9,18,27,2,11,94,7,NA,244,NA,NA,135,NA,NA,NA,NA
2021-2022,Notre Dame,ACC,12,Aubrey Hamilton,So,OH,6-2,28,15,103,NA,316,126,1027,0.185,10,12,13,85,27,4,44,1,NA,354,2,NA,178,NA,NA,NA,NA
2021-2022,Notre Dame,ACC,14,Lauren Tarnoff,So,MB,6-2,22,18,60,NA,79,22,173,0.329,2,NA,NA,8,NA,7,74,2,NA,123,1,NA,NA,NA,NA,NA,NA
2021-2022,Notre Dame,ACC,18,Charity McDowell,So,MB,6-0,2,0,2,NA,0,1,5,-0.2,NA,NA,NA,NA,NA,NA,1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
2021-2022,Pittsburgh,ACC,2,Valeria Vazquez Gomez,So,OH,6-1,28,8,88,NA,95,42,246,0.215,12,14,10,107,12,1,15,NA,NA,117.5,3,NA,280,NA,NA,NA,NA
2021-2022,Pittsburgh,ACC,3,Cat Flood,So,OH,6-2,15,0,22,NA,3,3,19,0,NA,2,3,3,2,NA,NA,NA,NA,5,NA,NA,35,NA,NA,NA,NA
2021-2022,Pittsburgh,ACC,8,Anastasia Russ,So,MB,6-5,8,1,12,NA,15,2,22,0.591,NA,NA,NA,2,NA,1,6,NA,NA,19,NA,NA,8,NA,NA,NA,NA
2021-2022,Syracuse,ACC,1,Lauren Hogan,So,DS,5-4,16,1,58,NA,1,0,23,0.043,50,5,18,228,13,NA,NA,NA,NA,6,NA,NA,239,NA,NA,NA,NA
2021-2022,Syracuse,ACC,17,Naomi Franco,So,OH,6-3,29,24,98,NA,169,82,461,0.189,3,8,17,52,1,7,50,10,NA,209,6,NA,124,NA,NA,NA,NA
2021-2022,Virginia,ACC,14,Mary Shaffer,So,OH,6-0,28,26,99,NA,189,92,554,0.175,7,2,16,69,1,3,81,12,NA,234.5,NA,NA,52,NA,NA,NA,NA
2021-2022,Virginia,ACC,15,Laila Rogers,So,MB,5-11,15,0,26,NA,10,11,45,-0.022,1,NA,NA,8,NA,NA,16,1,NA,18,NA,NA,NA,NA,NA,NA,NA
2021-2022,Virginia,ACC,24,Madison Morey,So,L/DS,5-7,26,4,75,NA,0,0,0,NA,22,14,22,93,20,NA,NA,NA,NA,14,1,NA,190,NA,NA,NA,NA
2021-2022,Virginia,ACC,25,Hannah Prendergast,So,S,5-8,19,0,52,NA,1,2,6,-0.167,194,10,29,58,NA,NA,NA,NA,NA,11,2,NA,141,NA,NA,NA,NA
2021-2022,Virginia Tech,ACC,5,Brie Siverling,So,S,6-0,26,14,87,NA,21,7,71,0.197,538,24,40,156,NA,NA,7,6,NA,48.5,6,NA,312,NA,NA,NA,NA
2021-2022,Virginia Tech,ACC,8,Cierra Huntley,So,OH,5-10,16,7,51,NA,11,10,52,0.019,3,18,20,89,9,NA,1,NA,NA,29.5,NA,NA,183,NA,NA,NA,NA
2021-2022,Virginia Tech,ACC,9,Mara Perry,So,S,5-8,28,9,104,NA,6,3,21,0.143,230,25,24,175,16,NA,1,1,NA,31.5,7,NA,332,NA,NA,NA,NA
2021-2022,Virginia Tech,ACC,13,Mekenzi Heckmann,So,OH,6-2,15,2,40,NA,62,34,209,0.134,1,1,2,16,7,2,18,1,NA,74,NA,NA,6,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,2,Olivia Franke,So,MB,6-4,29,29,104,NA,183,67,396,0.293,8,3,11,21,NA,18,73,12,NA,240.5,1,NA,33,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,6,Annabelle Daly,So,L/DS,5-8,29,15,101,NA,2,1,8,0.125,15,5,16,136,28,NA,NA,NA,NA,7,NA,NA,175,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,9,Kylie Adams,So,S,5-10,8,0,15,NA,1,0,4,0.25,29,NA,4,17,NA,NA,NA,NA,NA,1,1,NA,37,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,14,Ashley Slater,So,OH,6-2,29,14,102,NA,289,160,758,0.17,4,18,30,52,9,12,20,3,NA,329,NA,NA,164,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,18,Megan Merril,So,L/DS,5-8,28,0,85,NA,2,1,6,0.167,2,14,25,38,NA,NA,NA,NA,NA,16,NA,NA,226,NA,NA,NA,NA
2021-2022,Wake Forest,ACC,20,Chloe Wilson,So,OH,6-4,20,4,52,NA,91,43,234,0.205,2,NA,NA,16,1,2,30,2,NA,108,NA,NA,2,NA,NA,NA,NA
2021-2022,Bellarmine,ASUN,5,Anna Lococo,So,DS,5-5,28,0,104,NA,1,1,11,0,101,15,7,453,41,NA,NA,NA,NA,16,NA,NA,341,NA,NA,NA,NA
2021-2022,Bellarmine,ASUN,7,Carissa Reyes,So,L/DS,5-5,17,2,35,NA,0,1,1,-1,6,6,11,46,6,NA,NA,NA,NA,6,NA,NA,79,NA,NA,NA,NA
2021-2022,Bellarmine,ASUN,11,Bailey Venard,So,OH,5-10,21,12,65,NA,176,98,513,0.152,3,1,10,56,8,NA,18,2,NA,186,NA,NA,54,NA,NA,NA,NA
2021-2022,Central Ark.,ASUN,4,Anna Myers,So,S,5-11,22,16,64,NA,19,10,62,0.145,434,5,7,114,1,1,21,1,NA,35.5,4,NA,141,NA,NA,NA,NA
2021-2022,Central Ark.,ASUN,8,Lexie Gregory,So,L/DS,5-4,25,1,88,NA,1,0,6,0.167,38,17,19,297,41,NA,NA,NA,NA,18,NA,NA,220,NA,NA,NA,NA
2021-2022,Central Ark.,ASUN,10,Sarah Strus,So,OH,6-1,2,0,2,NA,1,0,2,0.5,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
2021-2022,Central Ark.,ASUN,16,April Conant,So,MB,6-0,7,5,17,NA,24,3,53,0.396,2,3,3,11,NA,NA,8,1,NA,31,NA,NA,58,NA,NA,NA,NA
2021-2022,Central Ark.,ASUN,17,Macy Blackburn,So,MB,6-0,19,15,55,NA,72,24,177,0.271,NA,15,15,22,2,10,54,2,NA,124,NA,NA,186,NA,NA,NA,NA
2021-2022,Eastern Ky.,ASUN,1,Molly Roeder,So,L/DS,5-5,12,0,29,NA,0,0,0,NA,NA,2,6,4,NA,NA,NA,NA,NA,2,NA,NA,58,NA,NA,NA,NA
2021-2022,Eastern Ky.,ASUN,7,Katie McKune,So,OH,5-11,27,0,79,NA,73,34,246,0.159,1,NA,NA,29,NA,1,25,4,NA,86.5,NA,NA,1,NA,NA,NA,NA
