Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2022-2023,Jacksonville St.,ASUN,18,Claire Ochs,Sr,S,5-10,30,30,108,NA,84,18,204,0.324,1175,23,56,249,NA,1,30,1,18,123,3,NA,NA,3,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,7,Jasmine Brown,Sr,MB,6-1,27,27,94,NA,200,62,444,0.311,10,NA,1,18,2,10,60,16,53.5,240,1,NA,NA,8,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,8,Shelby Dennis,Sr,OH,5-8,28,3,101,NA,0,1,20,-0.05,77,22,21,452,25,NA,NA,NA,NA,22,2,NA,NA,593,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,9,Lanie Vantrease,Sr,OH,5-11,20,1,48,NA,94,41,267,0.199,NA,2,2,13,1,NA,5,3,5.5,98.5,NA,NA,NA,27,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,12,Dani Ballou,Sr,OH,5-10,26,22,87,NA,259,78,703,0.257,15,31,31,140,18,5,29,1,23.5,309.5,NA,NA,NA,261,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,16,Emma Schurfranz,Sr,RS,6-1,27,22,94,NA,232,91,618,0.228,14,34,48,95,7,4,58,5,43.5,299,NA,NA,NA,53,NA,NA,NA,NA
2022-2023,Kennesaw St.,ASUN,19,Chelsey Abel,Sr,MB,6-1,12,4,27,NA,31,14,84,0.202,1,1,1,4,NA,3,18,9,22,44,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Liberty,ASUN,4,Amelia Preston,Sr,OH,6-1,12,2,27,NA,37,18,104,0.183,1,NA,6,20,5,NA,7,NA,3.5,40.5,NA,NA,NA,70,NA,NA,NA,NA
2022-2023,Liberty,ASUN,13,Rajini Fitzmaurice,Sr,OH,5-8,8,1,11,NA,6,7,38,-0.026,2,NA,4,25,3,NA,3,1,2.5,7.5,NA,NA,NA,35,NA,NA,NA,NA
2022-2023,Lipscomb,ASUN,6,Kailee Bass,Sr,MH,6-2,22,13,61,NA,51,14,111,0.333,2,NA,NA,3,NA,8,47,2,39.5,82.5,1,NA,NA,3,NA,NA,NA,NA
2022-2023,Lipscomb,ASUN,11,Logan Gish,Sr,OH,6-2,26,8,75,NA,104,39,301,0.216,10,24,26,92,15,3,5,NA,7,133.5,NA,NA,NA,236,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,1,Elizabeth Ford,Sr,L/DS,5-8,25,5,61,NA,1,0,3,0.333,5,10,11,45,10,NA,NA,NA,NA,11,NA,NA,NA,87,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,6,Anna Katherine Griggs,Sr,MB,6-2,28,28,103,NA,198,69,606,0.213,1,NA,NA,49,NA,8,65,3,44.5,238.5,NA,NA,NA,8,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,10,Ella Ratzloff,Sr,L,5-4,28,0,103,NA,1,1,21,0,65,14,27,484,32,NA,NA,NA,NA,15,NA,NA,NA,500,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,11,Taylor Floyd,Sr,OH,6-1,28,28,103,NA,305,86,1172,0.187,10,19,16,293,37,7,41,1,29,351.5,NA,NA,NA,596,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,15,Breylee Linder,Sr,S,5-7,8,6,23,NA,8,2,23,0.261,209,7,3,53,NA,1,7,NA,4.5,19.5,11,NA,NA,1,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,24,Mattrice Harris,Sr,MH,6-1,28,28,103,NA,158,44,342,0.333,NA,1,2,24,1,10,85,11,61.5,211.5,1,NA,NA,15,NA,NA,NA,NA
2022-2023,North Ala.,ASUN,25,Maggie Sullivan,Sr,MB,6-1,28,27,103,NA,166,54,449,0.249,6,12,15,46,1,14,93,6,68,238.5,NA,NA,NA,24,NA,NA,NA,NA
2022-2023,North Florida,ASUN,4,Rocio Moro,Sr,L/DS,5-5,29,0,110,NA,4,2,11,0.182,112,18,24,540,34,NA,NA,NA,NA,22,4,NA,NA,634,NA,NA,NA,NA
2022-2023,North Florida,ASUN,7,Solimar Cestero,Sr,OH,6-0,26,21,95,NA,240,76,711,0.231,5,6,10,76,9,4,45,6,38,272.5,1,NA,NA,70,NA,NA,NA,NA
2022-2023,North Florida,ASUN,20,Maddie Boyd,Sr,MB,6-2,29,29,110,NA,168,45,380,0.324,1,1,5,14,1,14,89,8,74.5,227.5,1,NA,NA,3,NA,NA,NA,NA
2022-2023,Queens (NC),ASUN,7,Abbey Criser,Sr,OH,5-11,27,15,78,NA,112,47,408,0.159,3,1,4,50,4,9,35,3,32,139.5,NA,NA,NA,60,NA,NA,NA,NA
2022-2023,Stetson,ASUN,4,Alexis Thompson,Sr,MB,5-10,29,25,104,NA,185,64,477,0.254,14,12,13,98,1,18,48,4,47.5,239,NA,NA,NA,19,NA,NA,NA,NA
2022-2023,Stetson,ASUN,10,Elena Djokovic,Sr,OH,6-1,29,29,105,NA,327,106,1009,0.219,31,18,14,298,32,19,20,2,33.5,374,3,NA,NA,562,NA,NA,NA,NA
2022-2023,Stetson,ASUN,12,Yamelis Mojica,Sr,OH,6-0,1,1,5,NA,9,2,16,0.438,NA,NA,NA,NA,NA,2,3,NA,5,12.5,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,Stetson,ASUN,13,Kennedy Muldrow,Sr,MB,6-0,15,9,35,NA,17,16,70,0.014,1,NA,NA,7,NA,3,14,2,11,27,2,NA,NA,3,NA,NA,NA,NA
2022-2023,Binghamton,America East,9,Victoria Erwat,Sr,OH,5-10,11,3,25,NA,23,18,83,0.06,NA,NA,NA,3,NA,NA,8,NA,4,27,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Binghamton,America East,22,Anna Sprys,Sr,MB,6-0,26,26,94,NA,178,48,425,0.306,8,23,30,47,NA,20,102,7,82.5,272,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Bryant,America East,1,Maggie Ryan,Sr,MB,6-1,12,0,25,NA,28,10,70,0.257,NA,1,NA,6,NA,1,18,NA,11,39,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Bryant,America East,2,Caroline Kennedy,Sr,OH,5-10,29,9,85,NA,183,110,486,0.15,5,NA,NA,52,NA,2,49,3,34,209.5,1,NA,NA,NA,NA,NA,NA,NA
2022-2023,Bryant,America East,3,Emma McGovern,Sr,OH,5-10,30,20,101,NA,153,91,439,0.141,14,21,22,208,23,NA,23,2,13.5,185.5,NA,NA,NA,493,NA,NA,NA,NA
2022-2023,Bryant,America East,4,Abby Rae,Sr,L,5-6,31,1,104,NA,1,1,11,0,74,23,18,310,29,NA,NA,1,NA,24,NA,NA,NA,526,NA,NA,NA,NA
2022-2023,Bryant,America East,14,Mia Cergol,Sr,S,5-10,31,31,111,NA,37,17,146,0.137,812,26,19,251,1,NA,18,2,12.5,72,14,NA,NA,9,NA,NA,NA,NA
2022-2023,Bryant,America East,17,Alysa Wright,Sr,MB,6-2,31,31,109,NA,248,82,540,0.307,3,34,31,51,NA,8,103,2,69.5,341.5,NA,NA,NA,9,NA,NA,NA,NA
2022-2023,Bryant,America East,19,Haley O'Brien,Sr,MB,6-1,30,29,97,NA,139,72,343,0.195,5,NA,NA,24,2,9,84,5,61.5,190,NA,NA,NA,13,NA,NA,NA,NA
2022-2023,Bryant,America East,20,Riley James,Sr,OH,5-10,31,25,111,NA,219,127,694,0.133,22,33,16,259,12,2,21,5,19,264.5,NA,NA,NA,490,NA,NA,NA,NA
2022-2023,NJIT,America East,4,Adriana Goetz-Morales,Sr,OH,5-10,28,25,85,NA,184,123,607,0.1,3,16,26,86,1,2,40,3,25.5,222,NA,NA,NA,4,NA,NA,NA,NA
2022-2023,NJIT,America East,6,Courtney Branch,Sr,MH,6-0,29,29,94,NA,165,33,337,0.392,3,2,2,14,NA,20,76,2,61,225,3,NA,NA,2,NA,NA,NA,NA
2022-2023,NJIT,America East,12,Juliana Impaglia,Sr,S,5-7,28,27,91,NA,33,7,92,0.283,747,20,19,180,NA,1,30,4,19.5,69,10,NA,NA,1,NA,NA,NA,NA
2022-2023,NJIT,America East,13,Emma Godwin,Sr,RS,6-0,28,9,72,NA,78,57,326,0.064,7,10,17,106,15,NA,17,NA,8.5,96.5,NA,NA,NA,162,NA,NA,NA,NA
2022-2023,NJIT,America East,16,Katelyn Bliesner,Sr,MB,6-2,11,6,24,NA,32,14,79,0.228,2,2,NA,4,NA,4,16,2,14.5,46,NA,NA,NA,2,NA,NA,NA,NA
2022-2023,New Hampshire,America East,10,Wren Macaulay,Sr,S,5-9,23,18,78,NA,33,5,83,0.337,441,12,22,154,NA,NA,16,2,12.5,53,5,NA,NA,3,NA,NA,NA,NA
2022-2023,New Hampshire,America East,17,Erin Hedrick,Sr,OH,5-11,8,1,11,NA,17,4,41,0.317,NA,NA,NA,3,NA,NA,3,NA,2.5,18.5,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,UAlbany,America East,3,Charlotte Macken,Sr,L/DS,5-3,27,0,102,NA,1,1,11,0,87,21,26,414,41,NA,NA,NA,NA,22,2,NA,NA,575,NA,NA,NA,NA
2022-2023,UAlbany,America East,6,Malea Stanton,Sr,S,5-9,25,20,90,NA,29,8,88,0.239,705,18,14,167,1,NA,7,2,5.5,50.5,2,NA,NA,3,NA,NA,NA,NA
2022-2023,UAlbany,America East,11,Noa Brach,Sr,MB,6-0,4,1,9,NA,7,13,34,-0.176,NA,NA,NA,4,NA,NA,1,NA,0.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,UMBC,America East,6,Kayla Tomas,Sr,L/DS,5-7,13,0,43,NA,0,0,0,NA,4,NA,NA,46,2,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA
2022-2023,UMBC,America East,14,Kamani Conteh,Sr,OH,5-10,26,25,100,NA,381,180,1013,0.198,7,28,30,159,7,3,40,5,34.5,432,2,NA,NA,57,NA,NA,NA,NA
2022-2023,UMBC,America East,17,Emily Ferketic,Sr,OPP,6-2,26,15,93,NA,87,46,272,0.151,4,9,7,33,NA,3,65,8,49.5,131.5,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Davidson,Atlantic 10,3,Julia Black,Sr,S,6-0,16,3,27,NA,20,10,82,0.122,3,NA,NA,8,NA,NA,6,2,5.5,23,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,Davidson,Atlantic 10,13,Paige Johnson,Sr,OH,6-0,11,0,16,NA,17,9,54,0.148,1,1,3,6,1,NA,5,NA,3.5,20.5,NA,NA,NA,17,NA,NA,NA,NA
2022-2023,Davidson,Atlantic 10,14,Anela Davis,Sr,MB,6-0,30,30,105,NA,153,46,361,0.296,2,12,24,41,1,47,110,8,118,267,1,NA,NA,14,NA,NA,NA,NA
2022-2023,Dayton,Atlantic 10,18,Grace Dynda,Sr,OH,5-11,34,31,124,NA,242,111,701,0.187,23,47,53,258,15,3,74,4,46.5,329,NA,NA,NA,123,NA,NA,NA,NA
2022-2023,Duquesne,Atlantic 10,4,Morgan Kelly,Sr,OH,6-3,27,24,101,NA,281,121,905,0.177,7,NA,NA,55,3,6,50,7,38.5,312,NA,NA,NA,18,NA,NA,NA,NA
2022-2023,Duquesne,Atlantic 10,11,Hailey Poling,Sr,S,5-8,30,30,109,NA,23,14,114,0.079,989,34,29,277,1,6,39,6,37,82.5,5,NA,NA,5,NA,NA,NA,NA
2022-2023,Duquesne,Atlantic 10,12,Ashley Larson,Sr,L/DS,5-10,22,2,80,NA,5,11,25,-0.24,5,15,30,171,32,NA,NA,NA,NA,20,NA,NA,NA,360,NA,NA,NA,NA
2022-2023,Duquesne,Atlantic 10,14,Anita Parrott,Sr,MH,6-1,21,21,73,NA,124,47,291,0.265,3,3,4,27,NA,17,58,NA,53.5,173,NA,NA,NA,4,NA,NA,NA,NA
2022-2023,Fordham,Atlantic 10,2,Megan Brzozowski,Sr,S,5-10,29,26,108,NA,30,16,120,0.117,891,24,30,274,NA,6,26,5,26.5,73,8,NA,NA,5,NA,NA,NA,NA
2022-2023,Fordham,Atlantic 10,6,Mallory Lipski,Sr,L,5-8,29,0,108,NA,1,1,13,0,117,21,9,512,39,NA,NA,NA,NA,22,NA,NA,NA,547,NA,NA,NA,NA
2022-2023,Fordham,Atlantic 10,7,Aria De La Rosa,Sr,MB,6-2,29,28,108,NA,224,68,528,0.295,2,4,10,23,NA,7,73,10,56.5,271.5,NA,NA,NA,14,NA,NA,NA,NA
2022-2023,Fordham,Atlantic 10,10,Chloe Pejouan,Sr,MB,6-3,29,29,107,NA,161,49,415,0.27,1,NA,NA,17,2,31,92,3,88.5,238,NA,NA,NA,18,NA,NA,NA,NA
2022-2023,Fordham,Atlantic 10,12,Aneliesa Cartledge,Sr,S,5-9,26,1,93,NA,0,0,0,NA,6,24,18,24,NA,NA,NA,NA,NA,24,NA,NA,NA,2,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,4,Christina Walker,Sr,OH,6-2,4,0,4,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,8,Jewel Clark,Sr,MB,6-0,1,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,9,Mujay Mambu,Sr,OH,6-0,24,14,75,NA,186,93,532,0.175,4,4,7,43,26,4,32,7,29,210,NA,NA,NA,183,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,11,Skylar Goering,Sr,OH,5-11,4,0,5,NA,3,5,21,-0.095,NA,NA,NA,2,NA,NA,1,1,1.5,3.5,1,NA,NA,11,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,17,Peyton Ehmke,Sr,MB,6-1,29,29,107,NA,150,50,352,0.284,5,NA,NA,12,1,16,85,6,68.5,208.5,NA,NA,NA,11,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,18,Stephanie Der,Sr,L,5-3,26,0,96,NA,2,2,8,0,97,18,13,415,29,NA,NA,NA,NA,20,NA,NA,NA,429,NA,NA,NA,NA
2022-2023,George Mason,Atlantic 10,23,Yanira Lopez-Barahona,Sr,OH,5-9,21,12,67,NA,133,64,451,0.153,3,9,14,61,14,2,26,1,19,157,1,NA,NA,259,NA,NA,NA,NA
2022-2023,George Washington,Atlantic 10,3,Bella Bowman,Sr,L,5-7,30,2,116,NA,3,0,9,0.333,106,26,25,508,35,NA,NA,NA,NA,29,2,NA,NA,565,NA,NA,NA,NA
2022-2023,George Washington,Atlantic 10,4,Addie Feek,Sr,MB,6-3,30,25,104,NA,68,37,195,0.159,6,10,26,18,6,8,84,9,70,128,5,NA,NA,15,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,1,Paige Kaufman,Sr,L/DS,5-5,7,0,19,NA,0,0,1,0,3,NA,NA,13,2,NA,1,NA,0.5,0.5,NA,NA,NA,31,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,5,Addie Barnes,Sr,OH,5-11,27,20,99,NA,198,108,560,0.161,19,35,47,189,19,2,36,6,30,253,1,NA,NA,403,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,9,Taylor Venuto,Sr,MH,6-1,28,23,92,NA,205,42,416,0.392,8,3,6,41,NA,15,82,1,69.5,264,1,NA,NA,18,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,11,Kasey Bell,Sr,MB,5-11,3,0,5,NA,0,2,6,-0.333,NA,NA,1,NA,NA,NA,2,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,13,Sarah Murczek,Sr,OH,5-9,31,18,111,NA,151,70,464,0.175,21,30,34,207,34,1,15,2,12,189.5,NA,NA,NA,527,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,16,Madi Corey,Sr,S,5-10,28,0,94,NA,1,0,4,0.25,13,32,31,30,NA,NA,1,1,1.5,33.5,1,NA,NA,NA,NA,NA,NA,NA
2022-2023,Loyola Chicago,Atlantic 10,18,Bayley McMenimen,Sr,S,5-9,25,0,69,NA,3,0,11,0.273,284,11,12,108,NA,NA,NA,2,2,14,9,NA,NA,NA,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,2,Claire Wagner,Sr,OH,5-10,18,16,64,NA,197,114,630,0.132,13,14,25,125,28,NA,24,1,20.5,223,NA,NA,NA,300,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,4,Abby Fillion,Sr,L/DS,5-8,4,1,12,NA,0,0,1,0,6,1,NA,41,4,NA,NA,NA,NA,1,NA,NA,NA,58,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,6,Gillian Klise,Sr,MB,6-2,18,6,38,NA,26,14,90,0.133,2,4,12,8,2,2,9,NA,9.5,36.5,NA,NA,NA,7,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,7,Mariah Paulette,Sr,MB,6-2,26,20,74,NA,68,35,196,0.168,5,9,1,30,3,6,41,4,42.5,103.5,NA,NA,NA,11,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,8,Adel Gage,Sr,S,5-8,27,5,85,NA,2,1,15,0.067,39,17,4,134,1,NA,4,NA,2.5,21,2,NA,NA,3,NA,NA,NA,NA
2022-2023,Rhode Island,Atlantic 10,9,Gabrielle Shilling,Sr,OH,6-0,31,29,111,NA,177,61,447,0.26,9,3,2,18,1,15,80,4,80.5,235,2,NA,NA,8,NA,NA,NA,NA
2022-2023,Saint Louis,Atlantic 10,4,Dimitra Tziarli,Sr,MB,6-1,25,24,98,NA,109,29,241,0.332,8,18,10,41,NA,8,64,10,50.5,167,NA,NA,NA,4,NA,NA,NA,NA
2022-2023,Saint Louis,Atlantic 10,5,Lily Welti,Sr,OH,5-9,15,8,37,NA,60,30,195,0.154,6,3,7,80,16,1,3,1,3,65.5,NA,NA,NA,202,NA,NA,NA,NA
2022-2023,Saint Louis,Atlantic 10,10,Margaret Mahlke,Sr,OH,6-1,22,3,60,NA,79,40,218,0.179,1,1,1,14,1,NA,23,2,14.5,91.5,NA,NA,NA,16,NA,NA,NA,NA
2022-2023,VCU,Atlantic 10,9,Jovana Vukcevic,Sr,RS,6-2,30,10,111,NA,206,85,617,0.196,9,NA,NA,75,5,5,74,8,60,248,NA,NA,NA,36,NA,NA,NA,NA
2022-2023,VCU,Atlantic 10,11,Qairo Bentley,Sr,OH,6-0,31,31,127,NA,397,187,1278,0.164,42,30,15,407,69,14,59,9,60,470.5,1,NA,NA,908,NA,NA,NA,NA
2022-2023,Baylor,Big 12,11,Mallory Talbert,Sr,MB,6-3,31,31,114,NA,227,45,465,0.391,7,26,29,69,1,7,92,13,82.5,306,3,NA,NA,24,NA,NA,NA,NA
2022-2023,Baylor,Big 12,17,Kara McGhee,Sr,MB,6-5,32,32,117,NA,282,75,562,0.368,8,3,4,39,2,16,158,11,129,380,2,NA,NA,18,NA,NA,NA,NA
2022-2023,Baylor,Big 12,31,Lauren Harrison,Sr,OH,6-0,27,27,98,NA,347,151,943,0.208,8,1,14,193,29,9,43,5,46.5,378.5,2,NA,NA,565,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,1,Kenzie Mantz,Sr,RS,6-2,7,0,8,NA,8,4,25,0.16,NA,NA,NA,1,NA,NA,2,NA,1.5,9,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,3,Jaden Newsome,Sr,S,6-0,32,11,127,NA,38,17,89,0.236,709,20,41,219,NA,1,19,1,11.5,68.5,14,NA,NA,3,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,6,Eleanor Holthaus,Sr,RS,6-1,32,31,128,NA,398,144,1098,0.231,34,30,37,265,34,6,51,9,42.5,459.5,3,NA,NA,645,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,9,Annie Hatch,Sr,OH,6-1,17,1,57,NA,121,56,368,0.177,2,NA,NA,19,5,5,22,2,20,137,NA,NA,NA,72,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,10,Kate Shannon,Sr,DS,5-7,30,3,96,NA,0,0,0,NA,19,24,28,65,4,NA,NA,NA,NA,24,NA,NA,NA,95,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,14,Solei Thomas,Sr,OH,5-11,28,21,103,NA,245,104,606,0.233,6,NA,NA,62,NA,2,54,5,38,274,NA,NA,NA,2,NA,NA,NA,NA
2022-2023,Iowa St.,Big 12,20,Mariah Mitchell,Sr,RS,6-0,24,6,79,NA,146,63,401,0.207,1,NA,NA,22,NA,2,54,6,36,175,NA,NA,NA,2,NA,NA,NA,NA
2022-2023,Kansas,Big 12,1,Kennedy Farris,Sr,L/DS,5-7,30,2,111,NA,2,0,8,0.25,109,18,40,349,41,NA,NA,NA,NA,20,1,NA,NA,519,NA,NA,NA,NA
2022-2023,Kansas,Big 12,2,Rachel Langs,Sr,MB,6-3,28,28,104,NA,173,53,393,0.305,1,NA,1,30,1,18,106,6,91.5,244,NA,NA,NA,4,NA,NA,NA,NA
2022-2023,Kansas,Big 12,5,Gracie Van Driel,Sr,MB,6-1,3,0,3,NA,1,1,2,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,Kansas,Big 12,8,Anezka Szabo,Sr,OH,6-3,28,17,90,NA,203,67,473,0.288,5,NA,NA,35,2,5,81,2,57.5,248.5,1,NA,NA,4,NA,NA,NA,NA
2022-2023,Kansas,Big 12,15,Lauren Dooley,Sr,MB,6-6,30,30,111,NA,174,35,366,0.38,1,NA,NA,25,NA,16,105,4,82.5,242.5,1,NA,NA,8,NA,NA,NA,NA
2022-2023,Kansas St.,Big 12,12,Loren Hinkle,Sr,L/DS,5-9,28,28,103,NA,21,14,91,0.077,998,34,46,209,NA,2,55,9,39.5,84.5,17,NA,NA,8,NA,NA,NA,NA
2022-2023,Kansas St.,Big 12,16,Sydney Bolding,Sr,MB,6-5,29,29,107,NA,207,53,494,0.312,4,38,21,60,NA,8,133,13,95,319.5,NA,NA,NA,16,NA,NA,NA,NA
2022-2023,Kansas St.,Big 12,17,Haley Warner,Sr,RS,6-2,28,20,104,NA,162,103,435,0.136,6,2,2,54,3,3,86,11,62,210,NA,NA,NA,13,NA,NA,NA,NA
2022-2023,Oklahoma,Big 12,9,Savannah Davison,Sr,OH,5-10,17,6,54,NA,112,44,323,0.211,7,8,27,90,14,4,19,2,15.5,133.5,NA,NA,NA,262,NA,NA,NA,NA
2022-2023,Oklahoma,Big 12,11,Adria Oliver,Sr,MB,6-1,24,22,86,NA,107,43,248,0.258,6,NA,NA,22,NA,8,73,7,57.5,151.5,3,NA,NA,3,NA,NA,NA,NA
2022-2023,Oklahoma,Big 12,20,Grace Talpash,Sr,S,5-7,24,0,82,NA,0,0,1,0,4,9,18,38,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,TCU,Big 12,3,Mykayla Myers,Sr,MB,6-0,28,28,107,NA,163,52,366,0.303,4,6,14,29,NA,7,90,2,62.5,221,1,NA,NA,4,NA,NA,NA,NA
2022-2023,TCU,Big 12,8,Madilyn Cole,Sr,MB,6-3,15,8,30,NA,15,11,48,0.083,1,NA,NA,8,NA,6,31,1,22.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,TCU,Big 12,11,Sabrina Sustala,Sr,L/DS,-,28,2,105,NA,1,0,11,0.091,60,18,22,253,21,NA,NA,NA,NA,19,NA,NA,NA,399,NA,NA,NA,NA
2022-2023,TCU,Big 12,12,Julia Adams,Sr,OH,6-3,28,21,108,NA,329,115,893,0.24,11,28,21,86,21,4,37,3,26,379.5,NA,NA,NA,294,NA,NA,NA,NA
2022-2023,TCU,Big 12,14,McKenzie Nichols,Sr,S,5-10,23,2,85,NA,1,3,11,-0.182,121,17,44,174,3,NA,NA,NA,NA,18,4,NA,NA,57,NA,NA,NA,NA
2022-2023,TCU,Big 12,15,Audrey Nalls,Sr,OH,6-1,28,27,110,NA,424,218,1057,0.195,29,20,51,230,29,3,47,8,37.5,470.5,1,NA,NA,678,NA,NA,NA,NA
2022-2023,TCU,Big 12,19,Afedo Manyang,Sr,MB,6-3,14,2,35,NA,27,25,90,0.022,NA,NA,NA,5,NA,NA,14,1,8,34,NA,NA,NA,NA,NA,NA,NA,NA
2022-2023,TCU,Big 12,25,Callie Williams,Sr,S,5-9,28,27,111,NA,70,25,199,0.226,1031,24,46,270,1,1,25,3,22,107.5,15,NA,NA,6,NA,NA,NA,NA
2022-2023,Texas,Big 12,1,Jenna Ewert,Sr,S,5-10,19,1,35,NA,2,1,4,0.25,47,4,5,23,NA,NA,1,NA,0.5,6.5,2,NA,NA,NA,NA,NA,NA,NA
2022-2023,Texas,Big 12,7,Asjia O'Neal,Sr,MB,6-3,27,27,94,NA,208,32,397,0.443,5,17,23,68,NA,9,108,7,83.5,288,NA,NA,NA,5,NA,NA,NA,NA
2022-2023,Texas,Big 12,9,Saige Ka'aha'aina-Torres,Sr,S,6-0,28,28,97,NA,46,9,102,0.363,1100,16,21,183,2,2,42,1,32,85,2,NA,NA,3,NA,NA,NA,NA
2022-2023,Texas,Big 12,10,Zoe Fleck,Sr,L/DS,5-6,29,0,100,NA,1,1,7,0,112,31,34,442,20,NA,NA,NA,NA,32,NA,NA,NA,457,NA,NA,NA,NA
2022-2023,Texas,Big 12,28,Kayla Caffey,Sr,MB,6-0,25,20,67,NA,95,33,181,0.343,1,NA,NA,10,3,3,69,1,51.5,132.5,NA,NA,NA,7,NA,NA,NA,NA
2022-2023,Texas,Big 12,33,Logan Eggleston,Sr,OH,6-2,28,24,95,NA,407,123,956,0.297,13,42,54,168,18,6,58,3,48,484,3,NA,NA,311,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,1,KJ Adams,Sr,L,6-0,28,10,103,NA,0,1,20,-0.05,77,19,17,260,16,NA,NA,NA,NA,19,1,NA,NA,411,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,2,Alex Torres,Sr,L,5-7,17,6,63,NA,0,1,4,-0.25,43,1,7,76,9,NA,NA,NA,NA,1,3,NA,NA,180,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,3,Caitlin Dugan,Sr,OH,6-1,12,7,33,NA,57,49,193,0.041,5,4,2,35,6,6,23,1,19,78.5,NA,NA,NA,47,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,11,Kenna Sauer,Sr,OH,6-1,29,28,108,NA,423,174,1126,0.221,19,15,31,302,27,11,40,3,37,469,NA,NA,NA,783,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,17,Reagan Cooper,Sr,OH,6-1,26,14,99,NA,285,78,722,0.287,1,3,3,67,2,7,35,4,33.5,312.5,3,NA,NA,24,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,19,Karrington Jones,Sr,MB,6-0,29,28,108,NA,174,56,458,0.258,5,6,11,49,NA,12,89,9,72.5,236.5,2,NA,NA,12,NA,NA,NA,NA
2022-2023,Texas Tech,Big 12,21,Brooke Kanas,Sr,MB,6-2,29,28,110,NA,243,85,518,0.305,4,5,21,41,NA,7,104,7,74.5,307,1,NA,NA,7,NA,NA,NA,NA
